_id,Name_of_Product,Quantity,Drug_or_Content,How_to_Use,Special_Features,Diseases_Used_For,photo_link,Category_sub,category
69e5be12fff6d1ffa10a0428,AHC-5,Not specified,Levocetirizine 5 mg,Not specified,"It is a safe and fast-acting antihistamine that does not cause sedation or interfere with memory. It acts as a long-acting, peripheral H1 receptor antagonist with reduced potential for adverse CNS effects.","Allergic rhinitis, chronic idiopathic urticaria, atopic eczema, contact dermatitis, and allergic reactions due to drugs and food.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Tablets,Anti Histamine Range
69e5be12fff6d1ffa10a0429,ACNEMIDE-GEL,20 gm,Clindamycin 1% w/w & Nicotinamide 4% w/w,Topical treatment,Clindamycin is a semi-synthetic antibiotic effective against propionibacterium acne. Nicotinamide provides anti-inflammatory activity and reduces the number and severity of acne lesions.,"Acne, pimples, bacterial skin infections, and moderate to severe facial acne vulgaris.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Gel,Anti Acne Range
69e5be12fff6d1ffa10a042a,Silkmoist,50 gm,Paraben and Mineral Oil free,Can be used as a makeup base or primer.,It acts as a 72-hour moisturizer that maintains moisture and balances the skin. It is a good moisturizer substitute for oily skin types.,Cures rash and irritation caused by insect or mosquito bites.,https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Moisturizer,Moisturizers
69e5be12fff6d1ffa10a042b,Puremoist,75 gm,White soft paraffin 13.2% w/w + Light liquid paraffin 10.2% w/w,Daily use,"Acts as a barrier cream and skin lubricant (emollient) to prevent water evaporation, keeping skin soft, smooth, and hydrated. It protects the skin from environmental and oxidative damage.","Senile pruritus, rough skin, dry skin (xerosis), atopic dermatitis, and general skin health maintenance.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Moisturizers
69e5be12fff6d1ffa10a042c,TOPECIA FORTE,100 ml,"Red Onion Extract, Amla Extract, Brahmi Extract, Coconut Oil, Argan Oil, Bhringraj Oil, Rosemary Extract, Hibiscus Extract, Methi Extract, Kapur Kachri Extract, Sunflower Oil, Soya Bean Oil, Castor Oil, Olive Oil, Jojoba Extract, Lavender Extract",Not specified,"Checks hair fall, nourishes follicles, adds volume, stops breakage, and accelerates hair growth. It promotes a clean, healthy scalp and strengthens follicle roots.","Damaged and dry hair, hair breakage, hair fall.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Hair Oil,Hair Care Range
69e5be12fff6d1ffa10a042d,Elitraz-200,Not specified,Itraconazole 200 mg,ABPA: 100 mg twice daily followed by once daily for 3-6 months. Blastomycosis/Histoplasmosis: 200 mg once daily for 6-8 months. Life-threatening situations: 200 mg three times daily for the first 3 days. Allergic fungal rhinosinusitis: 100 mg bid.,"Highly effective in pulmonary fungal infections with high clinical cure rates (e.g., Histoplasmosis 95%).","Pulmonary fungal infections, Allergic Fungal Sinusitis, Histoplasmosis, Blastomycosis, Candidiasis, Mycosis, Cryptococcosis, Sporotrichosis, and Tinea Infections.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Capsules,Anti Fungal Range
69e5be12fff6d1ffa10a042e,Sporocid-250,Not specified,Terbinafine 250mg,"250mg once daily. Treatment duration varies from 2-6 weeks for Tinea pedis, to 12 weeks for toenail Onychomycosis.","An orally and topically active antimycotic agent with excellent fungicidal activity against dermatophytes, yeasts, and molds.","Fungal infections, dermatophyte onychomycosis, Tinea pedis, Tinea corporis, and Tinea cruris.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Tablets,Anti Fungal Range
69e5be12fff6d1ffa10a042f,Elizit-5,Not specified,Desloratadine 5 mg,Not specified,"It is a long-acting, non-sedating tricyclic histamine antagonist that blocks histamine. It alleviates nasal and non-nasal symptoms and reduces the size and number of hives.","Allergic rhinitis, contact dermatitis, idiopathic chronic urticaria, and general allergic reactions.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Tablets,Anti Histamine Range
69e5be12fff6d1ffa10a0430,Kojisis Ultra,20 gm,"Kojic Acid Dipalmitate 2%, Alpha Arbutin 2%, Licorice Extract 1%, Chamomile Extract, Vitamin E",Not specified,Fast-acting with a potent tyrosinase inhibition effect that is stronger than Hydroquinone without its pronounced side effects. It provides a 60% reduction in MASI score and significant skin lightening within 4 weeks.,"Management of moderate to severe melasma, hyperpigmentation, and pre/post-chemical peeling.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Face Care Range
69e5be12fff6d1ffa10a0431,Oxisis,30 gm,Oxiconazole Nitrate Cream 1.0% w/w,Not specified,Antifungal medication that aggressively fights fungus and yeast overgrowths.,"Athlete's foot, jock itch, ringworm, Pityriasis versicolor, Tinea, Onychomycosis, and fungal skin infections.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Anti Fungal Range
